"Team2","School.x","Overall_G.x","Overall_W.x","Overall_L.x","Overall_WL_Percentage.x","Overall_SRS.x","Overall_SOS.x","Conf_W.x","Conf_L.x","Home_W.x","Home_L.x","Away_W.x","Away_L.x","Team_Points.x","Opp_Points.x","MP.x","FG.x","FGA.x","FG_Percentage.x","X3P.x","X3PA.x","X3P_Percentage.x","FT.x","FTA.x","FT_Percentage.x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","WL_Percentage.x","SRS.x","SOS.x","Pace.x","ORtg.x","FTr.x","X3PAr.x","True_Shooting_Percentage.x","True_Rebound_Percentage.x","Assist_Percentage.x","Steal_Percentage.x","Block_Percentage.x","Effective_FG_Percentage.x","TO_Percentage.x","O_Reb_Percentage.x","FT_Per_FG.x","Team1","School.y","Overall_G.y","Overall_W.y","Overall_L.y","Overall_WL_Percentage.y","Overall_SRS.y","Overall_SOS.y","Conf_W.y","Conf_L.y","Home_W.y","Home_L.y","Away_W.y","Away_L.y","Team_Points.y","Opp_Points.y","MP.y","FG.y","FGA.y","FG_Percentage.y","X3P.y","X3PA.y","X3P_Percentage.y","FT.y","FTA.y","FT_Percentage.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","WL_Percentage.y","SRS.y","SOS.y","Pace.y","ORtg.y","FTr.y","X3PAr.y","True_Shooting_Percentage.y","True_Rebound_Percentage.y","Assist_Percentage.y","Steal_Percentage.y","Block_Percentage.y","Effective_FG_Percentage.y","TO_Percentage.y","O_Reb_Percentage.y","FT_Per_FG.y","Tournament_Type","Winner_ID"
109,"Gonzaga NCAA",37,32,5,0.865,18.43,2.59,17,1,15,1,10,1,3091,2505,1500,1125,2261,0.498,328,891,0.368,513,725,0.708,405,1477,564,234,134,420,631,0.865,18.43,2.59,69.8,118,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.4,0.227,229,"Ohio State NCAA",34,25,9,0.735,17.67,9.03,15,3,16,2,6,2,2591,2297,1375,951,1980,0.48,239,678,0.353,450,616,0.731,330,1245,499,209,132,399,595,0.735,17.67,9.03,68,110.9,0.311,0.342,0.57,53.6,52.5,8.9,11.3,0.541,14.9,29.8,0.227,"March Madness",109
113,"Hampton",34,18,16,0.529,-8.85,-9.57,11,4,11,3,5,11,2703,2603,1370,970,2173,0.446,198,627,0.316,565,727,0.777,385,1372,518,183,123,440,672,0.529,-8.85,-9.57,75,105.2,0.335,0.289,0.537,51,53.4,7.1,8.9,0.492,14.9,29.7,0.26,227,"Notre Dame",36,21,15,0.583,13.65,7.94,8,10,11,6,5,7,2698,2471,1455,945,2131,0.443,300,838,0.358,508,670,0.758,384,1324,520,208,131,355,470,0.583,13.65,7.94,66.5,111.4,0.314,0.393,0.551,51.6,55,8.6,9.6,0.514,12.7,30.8,0.238,"NIT",227
121,"Houston NCAA",35,27,8,0.771,15.99,4.16,14,4,15,0,6,5,2685,2271,1400,952,2066,0.461,297,768,0.387,484,674,0.718,404,1351,505,218,106,418,737,0.771,15.99,4.16,68.5,112,0.326,0.372,0.563,54.5,53,9.1,9,0.533,14.9,33.4,0.234,178,"Michigan NCAA",41,33,8,0.805,19.03,9.41,13,5,15,1,6,5,3019,2596,1655,1092,2335,0.468,361,1011,0.357,474,717,0.661,336,1365,585,261,126,379,643,0.805,19.03,9.41,65.8,110.8,0.307,0.433,0.564,50.2,53.6,9.6,8.1,0.545,12.4,24.9,0.203,"March Madness",178
131,"Iona NCAA",34,20,14,0.588,0.76,-2.19,11,7,8,3,7,8,2702,2602,1385,957,2076,0.461,324,846,0.383,462,626,0.738,290,1146,542,229,103,395,587,0.588,0.76,-2.19,71.5,109.1,0.302,0.408,0.569,47.2,56.6,9.2,7.6,0.539,14.3,24.3,0.223,80,"Duke NCAA",37,29,8,0.784,24.44,9.71,13,5,15,1,6,5,3121,2576,1490,1125,2288,0.492,309,831,0.372,562,791,0.71,492,1519,648,275,185,460,574,0.784,24.44,9.71,70.7,118.5,0.346,0.363,0.586,55.5,57.6,10.4,12.4,0.559,14.7,38.6,0.246,"March Madness",80
140,"Kansas State NCAA",37,25,12,0.676,12.84,8.74,10,8,14,3,6,5,2630,2478,1485,937,2025,0.463,254,744,0.341,502,684,0.734,298,1136,510,294,110,423,684,0.676,12.84,8.74,66.6,106.3,0.338,0.367,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.4,0.248,167,"Maryland-Baltimore County NCAA",36,25,11,0.694,-2.02,-3.84,12,4,15,2,9,7,2630,2466,1440,926,2088,0.443,364,940,0.387,414,641,0.646,347,1245,547,269,87,440,592,0.694,-2.02,-3.84,69.2,105.6,0.307,0.45,0.55,49.1,59.1,10.8,7.3,0.531,15.5,26.8,0.198,"March Madness",140
140,"Kansas State NCAA",37,25,12,0.676,12.84,8.74,10,8,14,3,6,5,2630,2478,1485,937,2025,0.463,254,744,0.341,502,684,0.734,298,1136,510,294,110,423,684,0.676,12.84,8.74,66.6,106.3,0.338,0.367,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.4,0.248,69,"Creighton NCAA",33,21,12,0.636,16.35,8.1,10,8,16,2,4,7,2756,2444,1330,1008,2050,0.492,343,923,0.372,397,531,0.748,246,1206,588,187,88,371,501,0.636,16.35,8.1,72.9,113.7,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.3,0.194,"March Madness",140
141,"Kansas NCAA",39,31,8,0.795,21.39,11.87,13,5,14,3,8,3,3174,2803,1565,1165,2366,0.492,391,974,0.401,453,639,0.709,372,1388,649,254,160,456,597,0.795,21.39,11.87,70.3,115.3,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,28.8,0.191,327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,"March Madness",327
144,"Kentucky NCAA",37,26,11,0.703,17.24,10.73,10,8,16,2,4,6,2840,2599,1485,998,2115,0.472,195,546,0.357,649,930,0.698,439,1431,488,208,176,480,702,0.703,17.24,10.73,69.8,109.6,0.44,0.258,0.555,53.6,48.9,8,13.7,0.518,15.8,35.3,0.307,140,"Kansas State NCAA",37,25,12,0.676,12.84,8.74,10,8,14,3,6,5,2630,2478,1485,937,2025,0.463,254,744,0.341,502,684,0.734,298,1136,510,294,110,423,684,0.676,12.84,8.74,66.6,106.3,0.338,0.367,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.4,0.248,"March Madness",140
150,"Lipscomb NCAA",33,23,10,0.697,-2.1,-3.8,10,4,13,2,10,7,2708,2564,1340,924,2040,0.453,267,813,0.328,593,826,0.718,346,1276,517,216,102,493,656,0.697,-2.1,-3.8,77,105,0.405,0.399,0.557,52.2,56,8.4,8,0.518,16.9,28.3,0.291,217,"North Florida",33,14,19,0.424,-11.4,-1.74,7,7,10,2,4,17,2668,2873,1325,939,2058,0.456,357,945,0.378,433,570,0.76,313,1159,490,173,126,478,505,0.424,-11.4,-1.74,75.6,106.6,0.277,0.459,0.573,46.4,52.2,6.9,7.5,0.543,17,26.1,0.21,"March Madness",217
154,"Louisiana",34,27,7,0.794,7.58,-2.54,16,2,14,1,10,4,2829,2408,1365,971,2093,0.464,297,818,0.363,590,775,0.761,435,1325,591,256,147,455,648,0.794,7.58,-2.54,72.7,114.1,0.37,0.391,0.575,54.7,60.9,10.3,11.1,0.535,15.6,36.1,0.282,156,"Louisiana State",33,18,15,0.545,10.93,8.03,8,10,14,4,3,8,2559,2463,1325,916,1926,0.476,268,774,0.346,459,628,0.731,317,1101,467,252,110,382,585,0.545,10.93,8.03,69.4,111.3,0.326,0.402,0.575,49.4,51,11,9.7,0.545,14.7,29.2,0.238,"NIT",156
158,"Louisville",36,22,14,0.611,14.3,9.08,9,9,16,6,4,7,2721,2533,1460,969,2140,0.453,280,754,0.371,503,683,0.736,358,1316,489,251,217,425,585,0.611,14.3,9.08,69.7,106.9,0.319,0.352,0.552,49.7,50.5,9.9,15,0.518,14.7,28.6,0.235,182,"Mississippi State",37,25,12,0.676,11.71,6.82,9,9,19,2,4,8,2716,2507,1490,1000,2151,0.465,256,802,0.319,460,666,0.691,398,1336,491,243,198,483,614,0.676,11.71,6.82,68.5,106.5,0.31,0.373,0.55,51.4,49.1,9.5,14.8,0.524,16.4,31.7,0.214,"NIT",182
158,"Louisville",36,22,14,0.611,14.3,9.08,9,9,16,6,4,7,2721,2533,1460,969,2140,0.453,280,754,0.371,503,683,0.736,358,1316,489,251,217,425,585,0.611,14.3,9.08,69.7,106.9,0.319,0.352,0.552,49.7,50.5,9.9,15,0.518,14.7,28.6,0.235,179,"Middle Tennessee",33,25,8,0.758,10.29,2.83,16,2,12,2,12,2,2479,2188,1330,902,1914,0.471,241,648,0.372,434,585,0.742,346,1182,468,201,76,413,651,0.758,10.29,2.83,67.8,109.9,0.306,0.339,0.565,54.1,51.9,8.9,7.1,0.534,15.9,31.2,0.227,"NIT",158
158,"Louisville",36,22,14,0.611,14.3,9.08,9,9,16,6,4,7,2721,2533,1460,969,2140,0.453,280,754,0.371,503,683,0.736,358,1316,489,251,217,425,585,0.611,14.3,9.08,69.7,106.9,0.319,0.352,0.552,49.7,50.5,9.9,15,0.518,14.7,28.6,0.235,224,"Northern Kentucky",32,22,10,0.688,4.83,-4.07,15,3,12,2,8,6,2486,2112,1280,898,1889,0.475,258,756,0.341,432,591,0.731,309,1175,521,233,103,399,586,0.688,4.83,-4.07,70.6,110,0.313,0.4,0.573,52.6,58,10.3,8.7,0.544,15.5,29.1,0.229,"NIT",158
159,"Loyola (IL) NCAA",38,32,6,0.842,10.38,1.81,15,3,14,1,9,4,2721,2377,1520,995,1963,0.507,277,700,0.396,454,626,0.725,229,1222,594,241,90,472,528,0.842,10.38,1.81,66,108.4,0.319,0.357,0.602,51.3,59.7,9.6,6.8,0.577,17.3,21.8,0.231,140,"Kansas State NCAA",37,25,12,0.676,12.84,8.74,10,8,14,3,6,5,2630,2478,1485,937,2025,0.463,254,744,0.341,502,684,0.734,298,1136,510,294,110,423,684,0.676,12.84,8.74,66.6,106.3,0.338,0.367,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.4,0.248,"March Madness",140
