"Team2","School.x","Overall_G.x","Overall_W.x","Overall_L.x","Overall_WL_Percentage.x","Overall_SRS.x","Overall_SOS.x","Conf_W.x","Conf_L.x","Home_W.x","Home_L.x","Away_W.x","Away_L.x","Team_Points.x","Opp_Points.x","MP.x","FG.x","FGA.x","FG_Percentage.x","X3P.x","X3PA.x","X3P_Percentage.x","FT.x","FTA.x","FT_Percentage.x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","WL_Percentage.x","SRS.x","SOS.x","Pace.x","ORtg.x","FTr.x","X3PAr.x","True_Shooting_Percentage.x","True_Rebound_Percentage.x","Assist_Percentage.x","Steal_Percentage.x","Block_Percentage.x","Effective_FG_Percentage.x","TO_Percentage.x","O_Reb_Percentage.x","FT_Per_FG.x","Team1","School.y","Overall_G.y","Overall_W.y","Overall_L.y","Overall_WL_Percentage.y","Overall_SRS.y","Overall_SOS.y","Conf_W.y","Conf_L.y","Home_W.y","Home_L.y","Away_W.y","Away_L.y","Team_Points.y","Opp_Points.y","MP.y","FG.y","FGA.y","FG_Percentage.y","X3P.y","X3PA.y","X3P_Percentage.y","FT.y","FTA.y","FT_Percentage.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","WL_Percentage.y","SRS.y","SOS.y","Pace.y","ORtg.y","FTr.y","X3PAr.y","True_Shooting_Percentage.y","True_Rebound_Percentage.y","Assist_Percentage.y","Steal_Percentage.y","Block_Percentage.y","Effective_FG_Percentage.y","TO_Percentage.y","O_Reb_Percentage.y","FT_Per_FG.y","Tournament_Type","Winner_ID"
305,"Texas A&M NCAA",35,22,13,0.629,15.3,10.62,9,9,13,3,4,7,2631,2467,1400,976,2121,0.46,230,700,0.329,449,679,0.661,429,1450,538,191,208,476,574,0.629,15.3,10.62,70.9,106,0.32,0.33,0.538,54.3,55.1,7.7,15.2,0.514,16.3,33.7,0.212,178,"Michigan NCAA",41,33,8,0.805,19.03,9.41,13,5,15,1,6,5,3019,2596,1655,1092,2335,0.468,361,1011,0.357,474,717,0.661,336,1365,585,261,126,379,643,0.805,19.03,9.41,65.8,110.8,0.307,0.433,0.564,50.2,53.6,9.6,8.1,0.545,12.4,24.9,0.203,"March Madness",178
313,"Texas Tech NCAA",37,27,10,0.73,19.38,9.6,11,7,17,1,4,6,2759,2397,1490,964,2096,0.46,252,702,0.359,579,823,0.704,396,1332,506,262,154,454,669,0.73,19.38,9.6,68.5,108.2,0.393,0.335,0.555,52.6,52.5,10.3,12.4,0.52,15.4,32.2,0.276,327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,"March Madness",327
313,"Texas Tech NCAA",37,27,10,0.73,19.38,9.6,11,7,17,1,4,6,2759,2397,1490,964,2096,0.46,252,702,0.359,579,823,0.704,396,1332,506,262,154,454,669,0.73,19.38,9.6,68.5,108.2,0.393,0.335,0.555,52.6,52.5,10.3,12.4,0.52,15.4,32.2,0.276,97,"Florida NCAA",34,21,13,0.618,16.67,10.08,11,7,12,5,5,4,2577,2353,1375,893,2065,0.432,308,832,0.37,483,673,0.718,366,1199,445,236,164,335,591,0.618,16.67,10.08,68.4,109.5,0.326,0.403,0.54,48.5,49.8,10,12.7,0.507,12.3,28.6,0.234,"March Madness",313
314,"Texas NCAA",34,19,15,0.559,13.96,10.67,8,10,13,4,3,7,2450,2338,1410,882,2010,0.439,245,766,0.32,441,663,0.665,358,1217,393,209,167,399,547,0.559,13.96,10.67,66.9,103.9,0.33,0.381,0.527,50,44.6,8.9,12.7,0.5,14.6,29.3,0.219,199,"Nevada NCAA",37,29,8,0.784,14.44,4.93,15,3,14,1,11,3,3055,2703,1500,1049,2238,0.469,354,904,0.392,603,812,0.743,339,1316,598,230,150,357,630,0.784,14.44,4.93,70.6,115.5,0.363,0.404,0.582,49.4,57,8.7,10.9,0.548,12,26.2,0.269,"March Madness",199
323,"Utah",35,23,12,0.657,11.4,6.4,11,7,15,3,6,6,2571,2396,1410,876,1903,0.46,322,870,0.37,497,655,0.759,266,1174,532,180,115,414,567,0.657,11.4,6.4,67.2,108.5,0.344,0.457,0.581,49.2,60.7,7.6,9.1,0.545,15.8,23.8,0.261,156,"Louisiana State",33,18,15,0.545,10.93,8.03,8,10,14,4,3,8,2559,2463,1325,916,1926,0.476,268,774,0.346,459,628,0.731,317,1101,467,252,110,382,585,0.545,10.93,8.03,69.4,111.3,0.326,0.402,0.575,49.4,51,11,9.7,0.545,14.7,29.2,0.238,"NIT",323
323,"Utah",35,23,12,0.657,11.4,6.4,11,7,15,3,6,6,2571,2396,1410,876,1903,0.46,322,870,0.37,497,655,0.759,266,1174,532,180,115,414,567,0.657,11.4,6.4,67.2,108.5,0.344,0.457,0.581,49.2,60.7,7.6,9.1,0.545,15.8,23.8,0.261,238,"Penn State",39,26,13,0.667,15.85,7.79,9,9,15,4,6,7,2915,2601,1570,1057,2291,0.461,294,759,0.387,507,722,0.702,422,1384,541,282,193,463,685,0.667,15.85,7.79,67.9,109.3,0.315,0.331,0.553,51.8,51.2,10.6,13.3,0.526,15,31.7,0.221,"NIT",238
323,"Utah",35,23,12,0.657,11.4,6.4,11,7,15,3,6,6,2571,2396,1410,876,1903,0.46,322,870,0.37,497,655,0.759,266,1174,532,180,115,414,567,0.657,11.4,6.4,67.2,108.5,0.344,0.457,0.581,49.2,60.7,7.6,9.1,0.545,15.8,23.8,0.261,340,"Western Kentucky",38,27,11,0.711,11.08,3.65,14,4,14,3,9,5,2979,2674,1525,1075,2183,0.492,206,587,0.351,623,869,0.717,369,1356,515,271,140,441,569,0.711,11.08,3.65,69.7,112.1,0.398,0.269,0.574,51.5,47.9,10.2,9.6,0.54,14.5,29.7,0.285,"NIT",323
326,"Vermont",35,27,8,0.771,4.89,-3.17,15,1,12,2,12,5,2587,2277,1400,879,1806,0.487,260,650,0.4,569,755,0.754,269,1160,467,134,89,388,528,0.771,4.89,-3.17,65.3,113.2,0.418,0.36,0.598,53.5,53.1,5.9,7.4,0.559,15.2,26.3,0.315,179,"Middle Tennessee",33,25,8,0.758,10.29,2.83,16,2,12,2,12,2,2479,2188,1330,902,1914,0.471,241,648,0.372,434,585,0.742,346,1182,468,201,76,413,651,0.758,10.29,2.83,67.8,109.9,0.306,0.339,0.565,54.1,51.9,8.9,7.1,0.534,15.9,31.2,0.227,"NIT",179
327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,178,"Michigan NCAA",41,33,8,0.805,19.03,9.41,13,5,15,1,6,5,3019,2596,1655,1092,2335,0.468,361,1011,0.357,474,717,0.661,336,1365,585,261,126,379,643,0.805,19.03,9.41,65.8,110.8,0.307,0.433,0.564,50.2,53.6,9.6,8.1,0.545,12.4,24.9,0.203,"March Madness",327
327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,311,"Texas Southern NCAA",36,16,20,0.444,-7.53,-5.53,12,6,8,2,5,17,2787,2859,1450,925,2111,0.438,280,781,0.359,657,906,0.725,368,1301,438,207,144,453,631,0.444,-7.53,-5.53,72.7,105.7,0.429,0.37,0.548,48.5,47.4,7.8,9.3,0.505,15.1,28.2,0.311,"March Madness",327
332,"Wagner",33,23,10,0.697,-3.19,-6.9,14,4,16,1,7,9,2448,2256,1325,839,1962,0.428,269,769,0.35,501,705,0.711,446,1290,441,218,129,451,729,0.697,-3.19,-6.9,69.6,106.2,0.359,0.392,0.533,53.7,52.6,9.5,11.5,0.496,16.4,36.3,0.255,22,"Baylor",34,19,15,0.559,14.59,9.17,8,10,15,5,2,9,2571,2369,1375,941,2007,0.469,217,608,0.357,470,640,0.734,400,1292,516,185,152,463,608,0.559,14.59,9.17,68.5,109.1,0.319,0.303,0.556,54.2,54.8,7.9,12.2,0.523,16.7,35.6,0.234,"NIT",22
335,"Washington",34,21,13,0.618,7.65,6.06,10,8,16,4,4,6,2535,2481,1375,900,1963,0.458,230,664,0.346,505,720,0.701,328,1114,398,274,177,453,640,0.618,7.65,6.06,70.7,104.4,0.367,0.338,0.55,48.1,44.2,11.3,13.8,0.517,16.4,28.9,0.257,26,"Boise State",32,23,9,0.719,11.21,3.05,13,5,15,1,6,6,2502,2210,1300,878,1903,0.461,307,809,0.379,439,595,0.738,318,1232,427,183,70,433,573,0.719,11.21,3.05,70.7,108.8,0.313,0.425,0.572,55.9,48.6,8,5.9,0.542,16.5,29.3,0.231,"NIT",335
335,"Washington",34,21,13,0.618,7.65,6.06,10,8,16,4,4,6,2535,2481,1375,900,1963,0.458,230,664,0.346,505,720,0.701,328,1114,398,274,177,453,640,0.618,7.65,6.06,70.7,104.4,0.367,0.338,0.55,48.1,44.2,11.3,13.8,0.517,16.4,28.9,0.257,262,"Saint Mary's (CA)",36,30,6,0.833,12.86,0.33,16,2,18,2,11,1,2772,2321,1455,1014,1970,0.515,284,692,0.41,460,598,0.769,298,1212,557,160,94,357,556,0.833,12.86,0.33,63.6,119.8,0.304,0.351,0.615,55.1,54.9,6.9,6.8,0.587,13.7,29.2,0.234,"NIT",262
337,"West Virginia NCAA",37,26,11,0.703,19.88,9.36,11,7,14,3,5,5,2964,2575,1485,1036,2374,0.436,322,911,0.353,570,744,0.766,513,1401,561,301,192,420,798,0.703,19.88,9.36,70.6,113,0.313,0.384,0.543,52.5,54.2,11.5,15.9,0.504,13.3,36.5,0.24,327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,"March Madness",327
340,"Western Kentucky",38,27,11,0.711,11.08,3.65,14,4,14,3,9,5,2979,2674,1525,1075,2183,0.492,206,587,0.351,623,869,0.717,369,1356,515,271,140,441,569,0.711,11.08,3.65,69.7,112.1,0.398,0.269,0.574,51.5,47.9,10.2,9.6,0.54,14.5,29.7,0.285,327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,"NIT",340
347,"Wright State NCAA",35,25,10,0.714,0.58,-3.64,14,4,14,2,8,7,2500,2307,1410,873,2019,0.432,237,703,0.337,517,723,0.715,354,1267,460,231,77,459,558,0.714,0.58,-3.64,70,101.4,0.358,0.348,0.529,51.8,52.7,9.4,6.5,0.491,16.3,28.8,0.256,303,"Tennessee NCAA",35,26,9,0.743,18.2,10.12,13,5,13,2,8,4,2584,2301,1410,885,2012,0.44,273,718,0.38,541,715,0.757,404,1262,550,222,156,422,680,0.743,18.2,10.12,67.1,109.3,0.355,0.357,0.549,51.4,62.1,9.4,12.8,0.508,15.2,33.3,0.269,"March Madness",303
349,"Xavier NCAA",35,29,6,0.829,19.08,9.45,15,3,17,1,9,2,2953,2616,1415,1011,2055,0.492,274,736,0.372,657,843,0.779,340,1342,579,205,109,441,602,0.829,19.08,9.45,72.4,115.4,0.41,0.358,0.601,55.1,57.3,8,8.4,0.559,15.2,29.9,0.32,96,"Florida State NCAA",35,23,12,0.657,15.79,8.5,9,9,13,2,4,7,2806,2551,1420,994,2124,0.468,273,781,0.35,543,786,0.691,393,1322,523,241,186,456,652,0.657,15.79,8.5,72.2,109.4,0.37,0.368,0.562,51.9,52.6,9.4,14,0.532,15.4,31.8,0.256,"March Madness",96
